"date","dist_points","food_points","total_points"
2024-02-23 13:25:29.283769,13,4,17

2024-02-24 01:22:20.132167,60,0,60

2024-02-24 01:23:18.055566,100,30,130

2024-02-24 01:34:06.843160,70,15,85

2024-02-27 20:09:03.283526,106,40,146

2024-02-27 20:11:00.780616,84,0,84

2024-02-27 20:13:19.819678,157,110,267

2024-03-28 22:11:39.467069,152,100,252

2024-03-28 22:12:10.930429,76,10,86

2024-07-15 19:50:14.283778,119,70,189

2024-10-14 11:39:04.617306,64,0,64
2025-02-28 19:50:04.977172,126,50,176
2025-02-28 19:51:28.001070,332,310,642
